leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice
bh76_wtmad2,medium,1,58,73,27.149199501087242,0.00021168994181412765,109475.4916289835,23.174860453012535,25.00509340552269,22.114068697861534,0.00020200017710636945,22.114068697861534,False,,,,,22.17225211894371,,58
bh76_wtmad2,medium,2,57,72,40.54435341898159,0.00028361615545913877,109475.4916289835,31.049018052811427,35.167008770958745,22.114068697861534,0.00020200017710636945,22.114068697861534,False,,,,,22.25764614933511,,57
bh76_wtmad2,medium,3,56,70,22.285357323391906,0.0002651698782723309,109475.4916289835,29.029602789061133,25.214287205627755,22.114068697861534,0.00020200017710636945,22.114068697861534,False,,,,,22.170758315393858,,56
bh76_wtmad2,medium,4,56,70,27.043766250895352,0.00026733838331406955,109475.4916289835,29.267000944605403,28.111495254992096,22.114068697861534,0.00020200017710636945,22.114068697861534,False,,,,,22.170758315393858,,56
bh76_wtmad2,medium,5,56,70,37.5186108454361,0.00026926025704488,109475.4916289835,29.477399016134708,33.015430760940795,22.114068697861534,0.00020200017710636945,22.114068697861534,False,,,,,22.170758315393858,,56
bh76_wtmad2,medium,6,56,70,33.738150021799086,0.0002535742742166563,109475.4916289835,27.76016833433112,30.458612493123592,22.114068697861534,0.00020200017710636945,22.114068697861534,False,,,,,22.170758315393858,,56
bh76_wtmad2,medium,7,57,69,16.215499860229237,0.00021275660858617465,109475.4916289835,23.291634322286683,19.11986282541834,22.114068697861534,0.00020200017710636945,22.114068697861534,True,,,,,22.427822441707654,,57
w411_wtmad2,medium,1,119,127,1.1570600756538485,0.000252685235887817,10571.311545831788,2.6712143516021083,1.6146990183082477,2.5357084350061805,0.0002398669667441593,2.5357084350061805,True,,,,,2.5475186252435935,,119
w411_wtmad2,medium,2,120,127,6.597194908523356,0.0002953260939566071,10571.311545831788,3.121984146828884,4.23828757565856,2.5357084350061805,0.0002398669667441593,2.5357084350061805,False,,,,,2.5440800626670836,,120
w411_wtmad2,medium,3,120,126,3.608212022342743,0.00028784386692427464,10571.311545831788,3.042887193813453,3.3015240935454515,2.5357084350061805,0.0002398669667441593,2.5357084350061805,False,,,,,2.5501580280880773,,120
w411_wtmad2,medium,4,119,125,3.537652797708938,0.0002743413414084598,10571.311545831788,2.9001477899302315,3.1873357377720386,2.5357084350061805,0.0002398669667441593,2.5357084350061805,False,,,,,2.5610632016843504,,119
w411_wtmad2,medium,5,120,126,5.4944254072662755,0.00027237317694629184,10571.311545831788,2.8793417102272194,3.7785450746113978,2.5357084350061805,0.0002398669667441593,2.5357084350061805,False,,,,,2.5501580280880773,,120
w411_wtmad2,medium,6,119,125,4.489383899041141,0.0002556076768535993,10571.311545831788,2.702108385525695,3.3736535893881663,2.5357084350061805,0.0002398669667441593,2.5357084350061805,False,,,,,2.559475798967515,,119
w411_wtmad2,medium,7,118,124,1.7292607878042712,0.0002446137388380524,10571.311545831788,2.585888041647785,2.072547190749531,2.5357084350061805,0.0002398669667441593,2.5357084350061805,True,,,,,2.5512464248986793,,118
combined_wtmad2,medium,1,177,197,9.674258305456881,0.0002443413076524786,38178.84139425653,9.32866803092922,9.498320688036735,8.915174138633205,0.00023351086133206668,8.915174138633205,False,,,,,8.948230056769807,,177
combined_wtmad2,medium,2,177,196,17.529330700026854,0.00029485675629434765,38178.84139425653,11.25728933258685,13.710032457664848,8.915174138633205,0.00023351086133206668,8.915174138633205,False,,,,,8.925624865703737,,177
combined_wtmad2,medium,3,176,194,9.550940072676568,0.0002830884521841116,38178.84139425653,10.80798911648277,10.140656750516449,8.915174138633205,0.00023351086133206668,8.915174138633205,False,,,,,8.839505606338898,,176
combined_wtmad2,medium,4,175,193,11.05960910272859,0.00027498385725027795,38178.84139425653,10.498565071939241,10.771786598852515,8.915174138633205,0.00023351086133206668,8.915174138633205,False,,,,,8.875348479497292,,175
combined_wtmad2,medium,5,176,194,15.683938955774858,0.00027436612443242916,38178.84139425653,10.474980748662565,12.56083664625276,8.915174138633205,0.00023351086133206668,8.915174138633205,False,,,,,8.839505606338898,,176
combined_wtmad2,medium,6,175,193,13.848989058323685,0.000258122059410447,38178.84139425653,9.854801166590317,11.515376421498848,8.915174138633205,0.00023351086133206668,8.915174138633205,False,,,,,8.873632567231768,,175
combined_wtmad2,medium,7,175,191,6.447635799965546,0.00023757902856290055,38178.84139425653,9.070492050104523,7.5374078407651135,8.915174138633205,0.00023351086133206668,8.915174138633205,True,,,,,9.002250883279848,,175
